Genes	HepG2_MAX
ENSG00000280622	0
ENSG00000196205	17.2294
ENSG00000063601	19.2576
ENSG00000102383	2.3
ENSG00000196091	0.45866
ENSG00000180992	87.9515
ENSG00000215945	23.3036
ENSG00000236108	0.50297
ENSG00000259137	0.26
ENSG00000224166	0.23439
ENSG00000250234	0
ENSG00000219190	0
ENSG00000175087	4.4561
ENSG00000228486	9.8074
ENSG00000113273	52.0368
ENSG00000278895	1.2803
ENSG00000260722	0.068086
ENSG00000257683	5.9492
ENSG00000229798	0.052912
ENSG00000153234	0.19616
ENSG00000164124	12.9622
ENSG00000164363	0
ENSG00000213442	1.6392
ENSG00000072501	77.0557
ENSG00000281368	0
ENSG00000223930	0.65121
ENSG00000227295	0.1872
ENSG00000183072	1.5146
ENSG00000228513	0.29783
ENSG00000221547	2.6721
ENSG00000249725	0
ENSG00000265788	0.12074
ENSG00000253363	0.49816
ENSG00000237783	0
ENSG00000214754	0.083466
ENSG00000272072	3.3706
ENSG00000242759	0.35696
ENSG00000261468	6.8365
ENSG00000133063	0.19172
ENSG00000212251	0
ENSG00000207395	0
ENSG00000235280	7.6359
ENSG00000236618	10.792
ENSG00000278922	0.44754
ENSG00000155275	13.073
ENSG00000268434	2.1125
ENSG00000266980	3.1469
ENSG00000147592	29.3552
ENSG00000178243	0
ENSG00000280177	0.017853
ENSG00000214188	1.2245
ENSG00000229259	0.029443
ENSG00000245888	4.3307
ENSG00000255327	0.28684
ENSG00000116017	93.9818
ENSG00000176834	22.1277
ENSG00000243385	0.13153
ENSG00000175065	0.19775
ENSG00000265815	18.5805
ENSG00000164175	0.19015
ENSG00000215380	0.95677
ENSG00000142192	164.0665
ENSG00000225988	0
ENSG00000230844	7.4695
ENSG00000125551	0.62505
ENSG00000236592	0
ENSG00000237810	0.036896
ENSG00000262094	1.1309
ENSG00000118260	57.9739
ENSG00000253873	0.11736
ENSG00000235427	0
ENSG00000279668	0.02941
ENSG00000204776	2.8318
ENSG00000216718	0
ENSG00000272582	0.77798
ENSG00000258456	0
ENSG00000207422	2.1321
ENSG00000200456	2.6875
ENSG00000214215	0.032198
ENSG00000223485	0.2788
ENSG00000261978	1.7694
ENSG00000204934	0.87518
ENSG00000254136	0
ENSG00000280204	0
ENSG00000100220	186.5294
ENSG00000226131	0.17324
ENSG00000183729	0.021216
ENSG00000167553	1724.0086
ENSG00000264624	0
ENSG00000280687	0
ENSG00000233973	0.63114
ENSG00000151503	33.625
ENSG00000231470	0
ENSG00000252682	0
ENSG00000111110	30.2713
ENSG00000249160	0.08569
ENSG00000232808	0
ENSG00000203585	0.059245
ENSG00000253900	0
ENSG00000227832	0
ENSG00000138050	33.5434
ENSG00000197462	1.7088
ENSG00000236053	0.21221
ENSG00000165995	2.6159
ENSG00000125170	65.5873
ENSG00000257265	0
ENSG00000251517	0
ENSG00000272729	0.15218
ENSG00000104957	20.0212
ENSG00000187775	11.9015
ENSG00000250299	13.4255
ENSG00000225449	0.081856
ENSG00000246541	0.1374
ENSG00000235937	1.6041
ENSG00000207932	3.8193
ENSG00000132259	0.032031
ENSG00000200966	1.3148
ENSG00000159199	209.4953
ENSG00000270226	0
ENSG00000244158	0
ENSG00000230399	0
ENSG00000237365	0
ENSG00000143149	31.4646
ENSG00000265250	0
ENSG00000254646	0
ENSG00000251491	0
ENSG00000226641	0
ENSG00000247853	1.2721
ENSG00000101198	3.2731
ENSG00000242221	0.40646
ENSG00000100271	2.2147
ENSG00000268499	0.67588
ENSG00000273355	5.3318
ENSG00000201229	1.9026
ENSG00000250326	1.2126
ENSG00000259229	0
ENSG00000222321	0
ENSG00000205549	0
ENSG00000247287	0.25051
ENSG00000278987	0.98381
ENSG00000229770	0
ENSG00000260814	9.4308
ENSG00000135637	13.3539
ENSG00000206741	2.8513
ENSG00000211717	0
ENSG00000165182	0.17855
ENSG00000241030	0.71998
ENSG00000100314	0.28621
ENSG00000174943	43.9914
ENSG00000232243	0
ENSG00000276484	1.2182
ENSG00000253455	0
ENSG00000248599	0
ENSG00000225450	1.404
ENSG00000221639	7.5108
ENSG00000237875	0
ENSG00000001631	23.5433
ENSG00000242731	0
ENSG00000235009	0
ENSG00000109944	0.25319
ENSG00000279130	1.419
ENSG00000214846	0.25858
ENSG00000272164	0
ENSG00000119705	319.9496
ENSG00000258038	0.17509
ENSG00000261440	0
ENSG00000233555	0
ENSG00000256101	3.0864
ENSG00000166317	0.17382
ENSG00000257802	0.15569
ENSG00000147684	293.5754
ENSG00000222831	5.3831
ENSG00000229917	0.25376
ENSG00000124089	0
ENSG00000280269	0.84126
ENSG00000107954	0.7225
ENSG00000238138	0
ENSG00000275293	0.72853
ENSG00000252264	0
ENSG00000231052	0
ENSG00000226196	0
ENSG00000259230	2.5288
