"Gene.name"	"SRR2153293"	"SRR2153295"	"SRR2153297"	"SRR2153299"	"SRR2153301"	"SRR2153303"	"SRR2153305"	"SRR2153307"	"SRR2153309"	"SRR2153311"	"SRR2153313"	"SRR2153315"	"SRR2153317"	"SRR2153320"
"Tha1"	89.0062	145.204	68.7824	93.0556	69.0408	55.9452	43.2627	37.9646	114.071	60.4839	44.5062	51.9941	64.9564	49.3782
"Thada"	122.768	220.248	117.377	39.2633	82.3487	117.158	96.0139	110.232	55.9992	95.2271	93.4093	97.9827	97.3946	105.436
"Thap1"	42.93123	97.78161	74.9456	65.8857	52.46832	61	52.84268	60.902	62	51.5079	49.00002	45.19341	59.70973	63.57512
"Thap11"	284	513	268	365	282	275	232	301	351	235	217	220	255	301
"Thap12"	3497.32	6067.23	3309.27	2925.1	3339.51	3120.74	3094.53	3563.85	2330.8	2625.23	3017.73	3542.81	3261.89	3485.46
"Thap2"	122.61629	238.67811	123.35306	95.107	116.08994	121.19061	87.05332	135.80405	122.19937	117.26	87.1491	93.18247	134.55547	120.10802
"Thap3"	386.4284	627.002	396.464	628.717	290.567	342.777	352.158	420.63	593.253	296.133	330.863	274.4	302.226	347.939
"Thap4"	198.09443	310.0107	181.29264	242.7111	182.08294	188.83138	156.86558	117.89117	242.711	149.5742	167.61075	177.62853	176.81623	160.84153
"Thap7"	114.1457	153.2085	90.17299	177.4611	73.69241	94.96729	82.73708	110.4406	127.73341	74.325314	64.77575	63.82574933	91.33928	77.44092
"Thap8"	2.194426	3.43925	0	1.164328	0	0	0	1.0647902	0	0	0	0	0	0
"Thbd"	245	515	292	274	253	234	175	471	336	177	213	318	475	368
"Thbs1"	262	220	328	172	239	346	113	582	373	123	198	657	146	279
"Thbs2"	330	532.766	438.776	314	394.343	363	175	609.097	402.676	259	300.535	347	414.393	180
"Thbs3"	84.073	232.7128	120.657	99.981031595	132.943	91.781000173776	56.3449	147.194892323193	160.129	42.3668	81.30580446566	65.2133	140.71	70.368
"Thbs4"	1405	1397	2031	1163.44	1308.46	1632	694	2413.03	2023	612	1544.08	1644	1165	500
"Theg"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Thegl"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Them4"	98.7891	178.302	132.66	59.6458	111.285	121.8	93.3143	116.363	120.69	93.7315	85.6364	75.7268	80.6751	111.205
"Them5"	2	5	4	1	0	2	13	9	2	15	0	0	7	0
"Them6"	163	253	153	304	145	122	152	154	197	86	155	120	128	147
"Them7"	1	2	0	1.58641	0	0	0	0	4.75922	0	0	0	0	1
"Themis"	1	0	0	1	1	0	0	0	0	0	0	0	0	0
"Themis2"	34.1338	71	34	40	39	20	17	58.7538	56	22	29	13	37	17
"Themis3"	3	4	5	16	6	0	5	0	3.00589	1.00205	6.00033	7	21	8
"Thg1l"	130.031	176.008	126.722	206.20600074652	95.29665	113.2530313672	93.4201531	92.4597	160.39200386153	121.049233816	103.365	140.441000010471	135.569	163.46222
"Thnsl1"	101.000020190466	210.0003	121.00031	114	121.99965	79	94.000043	111.99997	142.0002	67.000031	94.99997	90.000016	136.0002	93.0000752
"Thnsl2"	181.0001	251.5847	192.0002	227.00044	124.0002	148.0005	124	198.950793	129.00254	217.0001	102.00171	113	145.0004	131.0014
"Thoc1"	143.634	322.534	165.726	102.3217	102.441	113.57705	79.4621	166.913	39.069	92.9169	111.522	150.535	67.9227	157.496000879672
